title,description,mediaType,eps,duration,ongoing,sznOfRelease,years_running,studio_primary,studios_colab,contentWarn,watched,watching,wantWatch,dropped,rating,votes,tag_Based_on_a_Manga,tag_Comedy,tag_Action,tag_Fantasy,tag_Sci_Fi,tag_Shounen,tag_Original_Work,tag_Non_Human_Protagonists,tag_Drama,tag_Adventure,tag_Family_Friendly,tag_Short_Episodes,tag_School_Life,tag_Romance,tag_Shorts,tag_Slice_of_Life,tag_Seinen,tag_Supernatural,tag_Magic,tag_Animal_Protagonists,tag_Ecchi,tag_Mecha,tag_Based_on_a_Light_Novel,tag_CG_Animation,tag_Superpowers,tag_Others,tag_missing
Gosick,"In the early 20th century, Kazuya transfers to a prestigious academy as part of an exchange program between Japan and Saubure, a small European country. But while Kazuya would love to make friends and have a typical school life, the boy is shunned by his ghost story-loving peers who believe that he's a ""Black Reaper"" to be feared. Things change one day when Kazuya wanders to the top of the library and discovers a lush botanical garden, and a beautiful, small, blonde-haired girl named Victorique who rarely leaves the building and is fascinated by unsolved mysteries. Together, the two develop a budding friendship and take on many chilling and dangerous cases that even the famous local detective Grevil can't solve.",TV,24,,FALSE,Winter,1,Bones,0,1,20018,3013,13790,1849,4.266,17275,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Lovely Complex,"Lovely Complex is a story of a boy and a girl. The girl, Koizumi Risa, is much taller than the average Japanese girl; and the boy, Atsushi Otani, is much shorter than the average Japanese boy. Due to their immense difference in size and constant bickering with each other, the duo is unwillingly the school’s comic relief. As Risa and Otani continue to provide endless laughter for the masses, their friendship develops; and with that, so does Risa’s feelings for Otani...",TV,24,,FALSE,Spring,0,Toei Animation,0,0,31994,1961,12123,1914,4.265,24700,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Labyrinth of Grisaia,"Yuuji Kazami has saved the hearts of five girls of Mihama Academy, but his own heart is still clouded with darkness. Looking back, Yuuji wonders what has shaped him into what he is today, as well as what he has gained and lost along the path.",TV Special,1,48,FALSE,is_missing,0,Others,0,1,8246,154,2432,30,4.264,5524,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ushio and Tora TV (2016),Continuation of the Ushio and Tora TV series.,TV,13,,FALSE,Spring,0,Others,1,0,4912,559,2158,199,4.264,3619,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Prince of Tennis: National Championship Semifinal,"Following the win against their old adversary, Hyotei Gakuen, Seigaku have made it to the semi-finals of the Junior-High National Tournament. However, stronger rivals now face them in the form of Osaka’s representative, Shitenhouji. With a power player to rival Kawamura’s strength and a comedy duo using their talents to throw off their opponents, Shitenhouji will not be an easy team to beat. Will Seigaku be able to pull through to victory, and will Shitenhouji’s rookie ace, Kintarou, be able to fulfill his desire, and play a match against Echizen - or even get his name right?",OVA,6,,FALSE,is_missing,0,is_missing,0,0,5289,75,1041,24,4.263,2896,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durarara!! Specials,"The Headless Rider receives a mysterious red bag that creates big trouble. The Yakuza chase a gangster, and a wagon disappears on the highway, pursued by suspicious men in black suits. Mikado and his friends should be enjoying the summer festival, but have been swept up in the events. And, finally, a mysterious radiant object appears in the night sky over Ikebukuro...!?",DVD Special,2,24,FALSE,is_missing,1,is_missing,0,0,13182,371,3963,70,4.262,8858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Blood Blockade Battlefront & Beyond,Second season of Blood Blockade Battlefront.,TV,12,,FALSE,Fall,0,Bones,0,0,8456,1261,5005,325,4.262,6100,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Yona of the Dawn OVA,,OVA,1,,FALSE,is_missing,0,Studio Pierrot,0,0,6083,155,2633,21,4.263,3808,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aria the Natural,"Akari's training as a gondolier at the prestigious Aria Company continues. Of course for Akari, the difference between training and just having fun is sometimes nonexistent! She and the rest of the ""A-Team"" face new adventures in the crooks and crannies of the city: hunting down an elusive treasure, looking for a secret conclave of cats, or just helping out the postman. This time with double the chibis and triple the punyuus, Akari and friends learn more about how life goes on at its leisurely pace, to the lazy beat of Neo Venezia.",TV,26,,FALSE,Spring,0,Others,0,0,3557,344,3201,182,4.261,2553,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Initial D Legend 1: Awakening,"High school student Takumi Fujiwara works as a gas station attendant during the day and a delivery boy for his father's tofu shop during late nights. Little does he know that his precise driving skills and his father's modified Toyota Sprinter AE86 Trueno make him the best amateur road racer on Mt. Akina's highway. Because of this, racing groups from all over the Gunma prefecture issue challenges to Takumi to see if he really has what it takes to be a road legend.",Movie,1,60,FALSE,is_missing,0,Others,1,0,1503,23,1193,11,4.26,953,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Detective Conan Movie 4: Captured In her Eyes,"When a series of murders involving police officers occurs, chaos erupts within the police headquarters; and in an attempt to keep the citizens calm, the police decide to bury the case in the shadows. Soon, however, tragedy strikes yet again. This time the killer is after Officer Sato; he is shot in front of Ran, who promptly develops a case of amnesia and can’t remember anything – including the face of Sato’s attacker. With the perpetrator now on the loose, Conan must now protect Ran at all costs, and bring this case out of the shadows and into the light!",Movie,1,100,FALSE,is_missing,0,TMS Entertainment,0,1,6543,37,1521,16,4.26,3533,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Berserk: Golden Age Arc I - The Egg of the King,"He trusts nothing but his own sword. He has no place to call home. The lone mercenary Guts travels a land ravaged by a hundred-year war. Moving from battlefield to battlefield, his skill and ferocity eventually attract the attention of Griffith, the leader of a group of mercenaries called The Band of the Hawk. Desiring Guts's power to help him achieve his goals, Griffith succeeds in recruiting the distrustful Guts by challenging him to a duel and defeating him. As the Band of the Hawk fight together and their bond as a unit grows stronger, Griffith and Guts's bond deepens as well. With their continued success on the battlefield, Griffith achieves the first step toward his lofty goals: his band of mercenaries becomes recognized as a full-fledged army within the Midland Kingdom. Despite all their success, Guts begins to question his reasons for fighting for Griffith's dream, which, unbeknownst to Guts, is destined to bestow a monstrous fate on them both.",Movie,1,80,FALSE,is_missing,0,Others,0,1,12365,81,2941,41,4.26,8901,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mobile Suit Gundam: The 08th MS Team,"War between the Earth Federation and Zeon has ground to a bloody standstill, and both sides eagerly seek a quick resolution. Among these is Ensign Shiro Amada, a young mobile suit pilot for the Federation assigned to the 08th mobile suit division in the heart of the Vietnamese jungle. The members of his team include Karen, a hot-headed pilot and part time mechanic; Sanders ""The Reaper,"" a pilot with a reputation for getting the people in his unit killed; Eledor, an aspiring musician, flirt, and communications officer for the team; and Mikel, the love-struck driver for the team's command vehicle. As the gravity of war bears down on their shoulders, they must struggle to keep their sanity amidst a chaotic battlefield that continually tests their wit, focus, and resolve.",is_missing,12,,FALSE,is_missing,3,Sunrise,0,1,8353,210,2482,137,4.26,5365,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jormungand,"Jonah is a child soldier and the newest bodyguard for Koko, an international arms dealer with an entourage of hired guns. The cold-blooded kid hates Koko’s line of work, but following her into the darkest corners of the black market might be the only way he can find those responsible for his family’s slaughter. Besides, his employer isn’t like most merchants of death. She uses guile and cutthroat tactics to keep her clients armed to the teeth—all while cultivating her own warped plan for the future of world peace. With the CIA desperate for her capture, assassins eager to collect her head, and the potential for every contract to end in ultra-violence, Koko and her comrades in arms bring the boom to every corner of the world.",TV,12,,FALSE,Spring,0,Others,0,1,13095,1086,6645,651,4.259,10420,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brand New Animal,"In the 21st century, the existence of animal-humans came to light after being hidden in the darkness of history. Michiru lived life as a normal human, until one day she suddenly turns into a tanuki-human. She runs away and takes refuge in a special city area called ""Anima City"" that was set up 10 years ago for animal-humans to be able to live as themselves. There Michiru meets Shirou, a wolf-human who hates humans. Through Shirou, Michiru starts to learn about the worries, lifestyle, and joys of the animal-humans. As Michiru and Shirou try to learn why Michiru suddenly turned into an animal-human, they unexpectedly get wrapped up in a large incident.",TV,12,,FALSE,Spring,0,Others,0,1,1124,965,2298,44,4.259,1149,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
One-Punch Man Specials,"Genos, determined as ever to find out the secret of Saitama's strength, begins stalking him and analyzing the food he eats. Saitama, annoyed to find one of his french fries missing, blames an ""innocent"" criminal instead. Later on, Sonic is saved by a baby boar while training in the forest, Bang unsuccessfully attempts to convince Saitama and Genos to join his dojo by using free meat as bait, and an ex-hero called the Serial Bomber plants a bomb on a train while Fubuki and Genos are riding it. Finally, a trip to the hot springs turns into a murder mystery when Zombieman is found dead on the floor!",DVD Special,6,12,FALSE,is_missing,1,MADHOUSE,0,0,11628,1034,2902,111,4.258,7853,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Melancholy of Haruhi Suzumiya,"The eccentric Suzumiya Haruhi wants nothing more than to meet aliens, time travelers and espers… but she’ll have to settle for the everyday Kyon instead! Along with the mysterious Itsuki and the vacant Mikuru, the duo forms the SOS Brigade – a club whose mission is to discover the mysteries of the world. Armed with a razor sharp wit and a skill for manipulation, Haruhi will stop at nothing to have fun at all costs, even at the expense of Mikuru’s dignity!",TV,14,,FALSE,Spring,0,Kyoto Animation,0,0,57941,2951,16135,2808,4.258,44694,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Eden of Grisaia,"The girls of Mihama Academy discover the dark past of Yuuji Kazami when the terrorist Heath Oslo reappears with plans to reclaim his protege. Sachi, Amane, Michiru, Chizuru, and Yumiko must orchestrate a plan to free Yuuji, who also finds himself face to face with his long lost sister Kazuki.",TV,10,,FALSE,Spring,0,Others,0,1,9831,688,4158,217,4.258,7161,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When They Cry: Higurashi,"Maebara Keiichi, an ordinary high-school boy, has transferred to a new school in Hinamizawa, a small rural village. At the outset everything seems peaceful and Keiichi becomes friends with a nice group of schoolgirls with whom he spends many idle summer afternoons. Suddenly violence encroaches upon the blissful peace of the village and Keiichi becomes entangled in an endless cycle of fear and death. The inconsistent, but inevitable horrors of Hinamizawa are told and retold becoming an endless and inescapable nightmare of insanity. Will it end even if the mystery of Hinamizawa is solved?",TV,26,,FALSE,Spring,0,Studio Deen,0,1,38930,4256,18152,3421,4.257,32578,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detective Conan Movie 22: Zero no Shikkounin,"In the film's story, there is a sudden explosion at Tokyo Summit's giant Edge of Ocean facility. The shadow of Touru Amuro, who works for the National Police Agency Security Bureau as Zero, appears at the site. In addition, the ""triple-face"" character is known as Rei Furuya as a detective and Kogorou Mouri's apprentice, and he is also known as Bourbon as a Black Organization member. Kogorō is arrested as a suspect in the case of the explosion. Conan conducts an investigation to prove Kogorō's innocence, but Amuro gets in his way.",Movie,1,109,FALSE,is_missing,0,TMS Entertainment,1,0,788,43,794,10,4.257,490,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paprika,"In Japan, a team of scientists have created a medical breakthrough: a device that allows the wearer to enter the dreams of a patient, for the purpose of healing. The talented Paprika is a master at her profession, but complications have now appeared in the form of a “dream terrorist” – an unknown foe who inserts nightmares into the minds of those who use the device. The victims are swept up in a ghoulish parade of dolls, kitchen appliances, and musical animals, and are reduced to a vegetable state – or worse. Now, Paprika and the team of scientists must delve into the minds of those affected to figure out the source of the tampering before more people, including themselves, are damaged beyond repair.",Movie,1,91,FALSE,is_missing,0,MADHOUSE,0,1,23474,213,8770,165,4.255,17491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamayura: Sotsugyou Shashin Movie 4 - Ashita,Part 4 of the Tamayura: Sotsugyou Shashin movie series.,Movie,1,,FALSE,is_missing,0,Others,0,0,202,7,457,5,4.256,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Okko's Inn Movie,"After losing her parents in a car accident, Okko goes to live in the countryside with her grandmother, who runs a traditional Japanese inn built on top of an ancient spring said to have healing waters. While she goes about her chores and prepares to become the inn’s next caretaker, Okko discovers there are spirits who live there that only she can see – not scary ones, but welcoming ghosts who keep her company, play games and help her navigate her new environment. The inn’s motto is that it welcomes all and will reject none, and this is soon put to the test as a string of new guests challenge Okko’s ability to be a gracious host.",Movie,1,100,FALSE,is_missing,0,MADHOUSE,1,0,359,22,645,2,4.253,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Log Horizon 2,"It's been six months since the event that trapped thousands of players in the online game world of Elder Tales and the situation is far from secure. The People of the Land are engaged in open warfare against the Goblin armies of Zantleaf. Minami spies are infiltrating the populace. And even with the support and guidance of the Round Table Alliance, the cost of sustaining the city of Akihabara is causing the entire infrastructure to teeter on the brink of collapse. With winter coming, Shiroe and his companions are forced to consider their options. Should they stay in Akihabara and attempt to weather the oncoming storm? Or should they gamble on missions to other portions of the world in search of new sources of valuable treasure?",TV,25,,FALSE,Fall,1,Studio Deen,0,0,23929,3890,6678,893,4.255,19293,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Initial D Third Stage,"After many trials and victories, Takumi has finally claimed the title of Akina’s downhill hero. Now, a genius called Takahashi Ryousuke is forming a team of Gunma’s top street racers. With his talented brother Keisuke already recruited, Ryousuke steps up to Takumi and offers him a spot in this professional racing team. Before giving answer to this proposal, however, Takumi wants to test his skills one more time and see if he is worthy -- and he has his sights set on Sudou Kyoichi, who defeated him once before. Can Takumi pass the final test he has laid out for himself?",Movie,1,105,FALSE,is_missing,0,Studio Deen,0,0,10108,77,1527,45,4.254,6283,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wolf's Rain OVA,"After leaving Jagara's keep, the story concludes as Kiba, Tsume, Hige, Toboe, Blue and Cheza struggle to finish their journey to Rakuen (Paradise), accompanied by the humans Hubb, Cher and Quent. Darcia confronts the protagonists at last. The secrets of his mysterious existence and Cheza's true form are revealed in this finale.",OVA,4,23,FALSE,is_missing,0,Bones,0,1,5425,84,2471,39,4.254,3626,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Disappearance of Conan Edogawa: The Worst Two Days in History,,TV Special,1,92,FALSE,is_missing,0,TMS Entertainment,0,0,1026,21,569,9,4.253,593,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni,,Movie,1,68,FALSE,is_missing,0,Production I.G,0,1,869,36,2171,6,4.253,592,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overlord: Shikkoku no Senshi,,Movie,1,94,FALSE,is_missing,0,MADHOUSE,0,1,2792,107,3010,36,4.251,1517,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Blue Exorcist,"Rin Okumura is a seemingly ordinary boy living at the Southern Cross Boys' Monastery. One day, however, Rin encounters a boy who has been possessed by a demon. Amidst the struggle, he not only awakens latent powers sealed within him, but also learns that he is the son of Satan! No longer able to stay under the protection of the church and with his very existence straddling the line between human and demon, Rin decides to fight against his parentage and joins the True Cross Order as an exorcist. Now, the teen must attend the True Cross Academy and begin special exorcist training alongside his new comrades all while keeping his identity a secret; but can the son of Satan really become a true exorcist?",TV,25,,FALSE,Spring,0,A-1 Pictures,0,0,85487,7091,15725,2725,4.251,64782,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seitokai Yakuindomo* OVA,,OVA,9,,TRUE,is_missing,6,Others,0,1,711.5,1866,1390,79,4.252,1271,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wan Jie Xian Zong 3rd Season,Third season of Wan Jie Xian Zong.,Web,48,8,FALSE,is_missing,1,is_missing,0,0,38,61,60,4,4.117,45,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sket Dance OVA,,OVA,1,27,FALSE,is_missing,0,Tatsunoko Production,0,0,1599,33,781,20,4.251,1016,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saiunkoku Monogatari 2nd Series,"Shuurei Kou and Eigetsu To, co-governors of the Sa Province, are determined to revitalize the region by making it a research capital. The road isn’t easy, though - opposition still remains and playing politics as the first female governor can be tricky. To add to the hardships, a mysterious illness in Sa Province gives a shady cult an opportunity to gain power by preying on the people’s fears. Eigetsu and Shuurei are undaunted in their goals, but with the prejudices of the times and Eigetsu’s past coming back to haunt him, can the young governors overcome the odds?",TV,39,,FALSE,Spring,1,MADHOUSE,0,0,4793,641,3134,227,4.25,3680,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Prince of Tennis - National Championship,"The Prince of Tennis is back! Echizen Ryoma has returned from America after competing in the U.S. Open, just in time to cheer on his former Seigaku teammates at the National Championship. Having no intention of playing in the championships himself, Echizen is challenged by Oishi to a match to determine who should compete in the National Championships. Echizen wins the match easily and earns a spot on the Regulars roster just in time for the National Championships, where the competition has vastly improved. Will the Prince become Seigaku's pillar of support and lead them to victory at the National Championships?",OVA,13,,FALSE,is_missing,1,Others,0,0,6260,227,1398,67,4.25,3580,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psycho-Pass: The Movie,"In a futuristic Japan, the Sibyl System is charged with keeping the peace. Using extensive surveillance and biological monitoring to gauge the likelihood that individuals will commit a crime, the police are able to use weapons called Dominators to remove potential criminals from the population before they become a problem. Confident with the success of the System within their own borders, the Japanese government has begun to export the technology to other countries, planning to ultimately spread the System across the globe. When the state of SEAUn brings the Sibyl System in to test its effectiveness, it becomes a haven of peace and safety—for a time. Eventually, terrorists from SEAUn begin appearing in Japan, somehow slipping through the System’s security and attacking from within. Desperate for answers, Inspector Akane Tsunemori is sent overseas to bring the terrorists to justice. But when her investigation forces her into a standoff with an old ally, will she be able to pull the trigger?",Movie,1,113,FALSE,is_missing,0,Production I.G,0,1,8485,145,7637,51,4.25,6237,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haikyuu!! Movie 1: Owari to Hajimari,,Movie,1,,FALSE,is_missing,0,Production I.G,0,0,2123,121,3160,14,4.248,1032,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Touhou Gensou Mangekyou: The Memories of Phantasm,"Marisa, an ordinary magician, suspects a youkai is behind the winterly weather in the middle of spring. She goes off to investigate and soon arrives in the netherworld, facing the youkai behind the strange incident. Will her friend, the shrine maiden Reimu, arrive in time to save the day or will all be lost?",Other,14,15,TRUE,is_missing,9,is_missing,0,0,39,729,1134,71,4.248,558,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem,"In a far-off galaxy, there exists a world much the same as Earth. Save for blue skin, the people are near identical - especially with their taste for rockin' dance music. When a strange alien abduction craft lands on the planet to steal their most popular band, however, all hope seems lost. With their story told entirely via Daft Punk's album Discovery, join The Crescendolls in a journey to rediscover both themselves and their music in a galaxy millions of light years away from home.",Movie,1,68,FALSE,is_missing,0,Toei Animation,0,0,7528,49,1557,36,4.247,5237,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajin: Demi-Human 2nd Season,"The war between Ajin terrorist Satou and Ajin Administrative Committee has been escalating with Satou declaring a public assassination attempt on 15 Ajin-related VIPs, an action Satou calls ""purging."" The final confrontations between Ajin and the Japanese government, as well as between Satou and Kei Nagai, are about to begin.",TV,13,,FALSE,Fall,0,Others,0,1,9389,645,2793,176,4.247,6939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Kase-san and Morning Glories,"Shy, reserved Yui Yamada is a budding horticulturist who is responsible for caring for her high school’s greenery. While tending to her campus’ morning glories, Yamada has a chance encounter with the vivacious, sporty Tomoka Kase, star of the girl’s track team. Yamada and Kase could not be more different and they have a lot to learn about one another, but as their friendship grows, their feelings begin to blossom into something more…",OVA,1,58,FALSE,is_missing,0,Others,0,0,1527,78,2001,17,4.247,1124,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Welcome to Demon School, Iruma-kun","Suzuki Iruma, human, 14, one day finds himself taken against his will into the world of demons. To add to his predicament, his doting owner and self-appointed ""Grandpa"" is the chair-demon at his new school. In order to survive, Iruma must deal with a haughty student who challenges him to a duel, a girl with adjustment issues, and so many more scary beings! Can this ultimate pacifist dodge the slings and arrows that are flung his way? As he struggles frantically, Iruma's innate kindness begins to win over enemies.",TV,23,,FALSE,Fall,1,Others,0,0,4183,3274,2606,315,4.246,4112,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Saezuru Tori wa Habatakanai: The Clouds Gather,"The sexually masochistic yakuza boss, Yashiro, isn't the type to warm up to others easily. But when Chikara Doumeki, his newly hired bodyguard, catches his interest, he reconsiders his ""hands-off"" policy with subordinates. As Yashiro's invitations fail, the yakuza boss finds out his bodyguard has a very personal reason for staying at arm's length.",Movie,1,,FALSE,is_missing,0,Others,0,0,36,44,2151,1,4.216,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Detective Conan Movie 16: The Eleventh Striker,"After an interaction with J-League professional players, Conan watches the big match between Tokyo Spirits and Gamba Osaka, only to find out that a bomb has been planted in the stadium. It is now up to Conan once more to foil the culprit's plans and reveal their true identity.",Movie,1,,FALSE,is_missing,0,TMS Entertainment,0,0,2958,20,1101,13,4.247,1667,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alderamin on the Sky,"The huge Katvana Empire is at war with the neighboring Kioka republic. In a corner of the empire, a young man is about be caught up in the flames of war. His name is Iwata Soroku. He's lazy, a philanderer, and he hates war. He's about as far from a soldier as you can get. On his way towards the next stage of officer's qualification exams, he and his childhood friend Yatorishino Igsem encounter the nurse trainee Harouma Beckle, Mashuu Tetrijirch, a member of the old military faction, and Torwey Lemion....",TV,13,,FALSE,Summer,0,MADHOUSE,0,0,12277,1197,4722,493,4.246,9322,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Seven Deadly Sins Movie: Prisoners of the Sky,"The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago.",Movie,1,99,FALSE,is_missing,0,A-1 Pictures,0,1,9076,261,5144,26,4.246,5358,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baby Steps,"The story follows ""Ei-chan,"" a punctual and earnest boy who has strived for straight As since elementary school. The 15-year-old high school boy stops by a tennis school to deal with his lack of exercise. There, he meets Natsu, a beautiful, earnest girl who only has passion for tennis. In turn, he awakens a deep passion for tennis within himself.",TV,25,,FALSE,Spring,0,Studio Pierrot,0,0,5268,632,1830,354,4.244,4231,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Blade Movie 1: The Time of Awakening,"The inhabitants of Cruzon have the ability to control quartz. Technology based on this power allows them to perform many tasks, such as pilot mobile suits called Golems. Arrow is an un-sorcerer, an individual who is unable to levitate even the smallest crystal. He receives a letter from the current king stating that an ancient Golem has been found in a mining shaft. No one has been able to move it, and Queen Sigyn suspects that an un-sorcerer might be the key to activate it in Broken Blade!",Movie,1,50,FALSE,is_missing,0,Production I.G,1,0,9929,483,3280,74,4.244,6909,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Overlord: Fushisha no Ou,,Movie,1,103,FALSE,is_missing,0,MADHOUSE,0,1,3329,143,3328,43,4.241,1847,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Natsume's Book of Friends: Nyanko-sensei & The First Errand,"Nyanko-sensei runs away from Natsume to chase a dragonfly. He finds himself stuck with two young children on their first errand. He keeps trying to leave, but the area of the forest they're in is filled with dangerous youkai. Can he help them complete their errand, while still retaining his sanity?",OVA,1,24,FALSE,is_missing,0,is_missing,0,0,3253,55,2030,23,4.244,2122,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Kishibe Rohan wa Ugokanai: Zange-shitsu,,OVA,1,24,FALSE,is_missing,0,Others,0,1,205,8,132,1,4.243,125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Baki: The Great Raitai Tournament Saga,"Granted special entry into the Great Raitai Tournament, a poisoned Baki now faces fighters in China, where the next true Sea Emperor will be chosen.",Web,13,24,FALSE,Spring,0,TMS Entertainment,0,1,546,103,1681,4,4.233,374,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neon Genesis Evangelion: The End of Evangelion,"End of Evangelion is an alternate ending to the Evangelion TV series (replaces episodes 25/26). In this powerful conclusion, the final battle against the Angels is fought, and questions are finally answered. The fate of the world lies with Shinji, but how will he act?",Movie,1,87,FALSE,is_missing,0,Production I.G,1,1,38447,164,6976,112,4.243,25791,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wu Geng Ji 2nd Season,Second season of Wu Geng Ji.,Web,42,16,FALSE,is_missing,1,is_missing,0,0,196,71,215,8,4.243,132,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
One Piece: Episode of East Blue,"The Straw Hats are about to set sail on the Grand Line! Monkey D. Luffy, a rubber man; Roronoa Zoro aka “Pirate Hunter;” Usopp, a sniper; Sanji, a seafaring cook; and “Cat Burglar” Nami make their vows before their next journey across the great ocean!",TV Special,1,106,FALSE,is_missing,0,Toei Animation,0,0,2130,64,572,5,4.243,1142,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
